Status,Property ID,Purchase Date,State,Purchase Price,price notes,mortgae type,% down,%down notes,Down Payment,Intrest rate,intrest rates notes,Points,Total Closing Costs,Capex,capex notes,Total Closing Costs+Capex,Total Invested,Rent,Avg Rent considering avg vacancy (month),Taxes/y,Insurance/y,HOA/y,Mortgage P&I (month),Taxes+ Insurance +HOA (month),Taxes+ Insurance +HOA +Mortgage (month),Cash remaining (month),Cash on Cash returns,Cash remaining after management (month),Cash on Cash after management,Year into mortgage,Principal returned (month),Principal returned % of invest,Total returns (cash+principal),leverage multiplier,leverage multiplier 2,appreciation expectations,Leveraged appriciation,Ratio of down payment out of total invest,Total returns this year,Days from closing to first tenant,Property Page Slug,
Closed,Ubrilded,March 2023,Alabama,"$299,380",,,25%,,"$74,845",5.4%,,6.0%,"$14,969",$0,,"$14,969","$89,814","$2,200","$2,129","$2,600","$1,124","$1,272","$1,257",$416,"$1,674",$455,6.1%,$242,3.2%,3,$287,3.8%,7.1%,x4,4,3.0%,12.0%,10.0%,17.1%,37,,
Closed,Cannes,July 2023,Alabama,"$305,880",,,25%,,"$76,470",5.25%,,2.5%,"$7,265",$0,,"$7,265","$83,735","$2,195","$2,124","$2,692","$1,150",$600,"$1,267",$370,"$1,637",$487,7.0%,$275,3.9%,3,$299,4.3%,8.2%,x4,4,3.0%,12.0%,11.0%,19.2%,10,,Vacancy
Closed,Travertine,April 2024,Oklahoma,"$282,650",,,30%,,"$84,795",5.25%,,2.0%,"$5,370",$0,,"$5,370","$90,165","$2,060","$1,993","$4,153","$1,096",$400,"$1,093",$471,"$1,563",$430,5.7%,$231,3.1%,2,$245,3.3%,6.3%,x3.3,3.3,3.0%,9.9%,9.3%,15.6%,38,,3.23%
Closed,Crockett,September 2024,Arkansas,"$205,700",,,20%,,"$41,140",6.49%,,2.2%,"$4,706","$4,000",,"$8,706","$49,846","$1,675","$1,621","$1,669",$935,$351,"$1,039",$246,"$1,285",$336,8.1%,$174,4.2%,1.5,$159,3.8%,8.0%,x5,5,2.5%,12.5%,10.3%,18.3%,66,,
Closed,Tracys ,April 2025,Oklahoma,"$285,900",,,25%,,"$71,475",4.99%,,4.6%,"$11,347",$600,,"$11,947","$83,422","$1,970","$1,906","$3,917","$1,349",$450,"$1,150",$476,"$1,626",$280,4.0%,$90,1.3%,1,$264,3.8%,5.1%,x4,4,3.0%,12.0%,10.3%,15.4%,21,,
Closed,S. Foley,October 2025,Alabama,"$269,900",,,25%,,"$67,475",5.00%,,2.0%,"$5,398","$5,500",,"$10,898","$78,373","$1,900","$1,839","$1,781",$965,$575,"$1,087",$277,"$1,363",$475,7.3%,$291,4.5%,1,$249,3.8%,8.3%,x4,4,3.0%,12.0%,10.3%,18.6%,30,,
Closed,H. Foley,November 2025,Alabama,"$264,990",,,25%,,"$66,248",5.13%,,0.0%,"$1,325","$6,000",,"$7,325","$73,572","$1,895","$1,834","$1,749",$965,$575,"$1,082",$274,"$1,356",$478,7.8%,$294,4.8%,1,$239,3.9%,8.7%,x4,4,3.0%,12.0%,10.8%,19.5%,30,,
Closed,Renfro 408,November 2025,Texas,"$312,450",,,25%,,"$78,113",3.75%,,0.0%,"$1,562",$0,,"$1,562","$79,675","$1,875","$1,814","$5,124",$692,$50,"$1,085",$489,"$1,574",$240,3.6%,$59,0.9%,1,$359,5.4%,6.3%,x4,4,3.5%,14.0%,13.7%,20.0%,5,,
Closed,Renfro 407,November 2025,Texas,"$312,450",,,25%,,"$78,113",3.75%,,0.0%,"$1,562",$0,,"$1,562","$79,675","$1,870","$1,810","$5,124",$692,$50,"$1,085",$489,"$1,574",$235,3.5%,$55,0.8%,1,$359,5.4%,6.2%,x4,4,3.5%,14.0%,13.7%,20.0%,64,,
Closed,J. Kathleens,January 2026,Oklahoma,"$292,990",,,25%,,"$73,248",4.99%,,4.1%,"$10,529",$600,,"$11,129","$84,376","$1,995","$1,931","$4,014","$1,183",$450,"$1,178",$471,"$1,649",$282,4.0%,$89,1.3%,1,$271,3.8%,5.1%,x4,4,3.0%,12.0%,10.4%,15.5%,55,,
Closed,Black Poplar,February 2026,Oklahoma,"$289,871",,,25%,,"$72,468",5.00%,,1.6%,"$4,899",$600,,"$5,499","$77,967","$1,895","$1,834","$3,305","$1,260",$300,"$1,167",$405,"$1,572",$261,4.0%,$78,1.2%,1,$267,4.1%,5.3%,x4,4,3.5%,14.0%,13.0%,18.3%,18,,
Closed,Gray Horse,February 2026,Alabama,"$262,934",,,25%,,"$65,734",5.25%,,1.9%,"$5,140","$4,500",,"$9,640","$75,374","$1,895","$1,834","$1,735",$965,$575,"$1,089",$273,"$1,362",$472,7.5%,$289,4.6%,1,$232,3.7%,8.3%,x4,4,3.0%,12.0%,10.5%,18.7%,15,,
Closed,Paige,March 2026,North Carolina,"$369,000",,,25%,,"$92,250",4.25%,,0.3%,"$2,537","$8,000",,"$10,537","$102,787","$2,385","$2,308","$4,244","$1,260",$770,"$1,361",$523,"$1,884",$424,4.9%,$193,2.3%,1,$389,4.5%,6.8%,x4,4,4.0%,16.0%,14.4%,21.2%,16,,
Closed,S.Gussy ,June 2026,Arkansas,"$238,900",,,20%,,"$47,780",5.63%,,2.9%,"$6,741","$4,000",,"$10,741","$58,521","$2,195","$2,124","$2,389",$765,$430,"$1,100",$299,"$1,399",$725,14.9%,$513,10.5%,1,$210,4.3%,14.8%,x5,5,2.5%,12.5%,10.2%,25.0%,17,,
Closed,Our Gussy,June 2026,Arkansas,"$227,900",,,25%,,"$56,975",6.25%,,1.0%,"-$2,151","$4,000",,"$1,849","$58,824","$1,995","$1,931","$2,279",$765,$430,"$1,052",$290,"$1,342",$589,12.0%,$396,8.1%,1,$167,3.4%,11.5%,x4,4,2.5%,10.0%,9.7%,21.2%,5,,
Closed,A. Warwick,June 2026,Arkansas,"$267,000",,,20%,,"$53,400",5.50%,,3.3%,"$8,277","$3,000",,"$11,277","$64,677","$2,200","$2,129","$2,670",$765,$250,"$1,213",$307,"$1,520",$609,11.3%,$396,7.4%,1,$240,4.4%,11.8%,x5,5,2.5%,12.5%,10.3%,22.1%,22,,
Closed,N. Rambling,July 2026,Arkansas,"$231,900",,,25%,,"$57,975",5.88%,,0.3%,"$1,594","$4,000",,"$5,594","$63,569","$2,000","$1,935","$2,319",$905,$250,"$1,029",$290,"$1,318",$617,11.6%,$424,8.0%,1,$182,3.4%,11.4%,x5,5,2.5%,12.5%,11.4%,22.8%,24,,
Closed,M. warwick,July 2026,Arkansas,"$293,000",,,20%,,"$58,600",5.50%,,3.3%,"$9,200","$4,000",,"$13,200","$71,800","$2,400","$2,322","$2,930","$1,040",$100,"$1,331",$339,"$1,670",$652,10.9%,$420,7.0%,1,$263,4.4%,11.4%,x5,5,2.5%,12.5%,10.2%,21.6%,3,,
Under Contract,I warwick,September 2026,Arkansas,"$271,000",,,20%,,"$54,200",5.50%,,3.1%,"$8,130","$4,000",,"$12,130","$66,330","$2,200","$2,129","$2,710","$1,061",$250,"$1,231",$335,"$1,566",$563,10.2%,$350,6.3%,1,$243,4.4%,10.7%,x5,5,2.5%,12.5%,10.2%,20.9%,5,,
Closed,our warwick,August 2026,Arkansas,"$289,000",,,25%,,"$72,250",5.50%,,2.4%,"$6,539","$4,000",,"$10,539","$82,789","$2,400","$2,322","$2,890","$1,040",$250,"$1,231",$348,"$1,579",$743,10.8%,$511,7.4%,1,$243,3.5%,10.9%,x5,5,2.5%,12.5%,10.9%,21.8%,0,,
Under Contract,midland kinsley,September 2026,Arkansas,"$239,650",,,25%,,"$59,913",5.88%,,0.3%,"$1,648","$4,000",,"$5,648","$65,560","$2,000","$1,935","$2,397","$1,000",$275,"$1,063",$306,"$1,369",$566,10.4%,$373,6.8%,1,$188,3.4%,10.3%,x4,4,2.5%,10.0%,9.1%,19.4%,,,
Proposed,brinkley coles winston,September 2026,North Carolina,"$365,000",,7/6 arm ,25%,,"$91,250",4.25%,,0.3%,"$2,509","$7,000",,"$9,509","$100,759","$2,400","$2,322","$4,161","$1,300",$770,"$1,347",$519,"$1,866",$457,5.4%,$224,2.7%,1,$385,4.6%,7.3%,,4,4.0%,16.0%,14.5%,21.7%,,248-colton-court,
Proposed,Cypress cottage walk,November 2026,Arkansas,"$231,900",price is likely firm,30 year fixed ,25%,it is also possible to put 20% down for an intrest rate ~0.25% higher,"$57,975",5.88%,,0.3%,"$1,594","$4,000",recommended to add fence after closing,"$5,594","$63,569","$1,950","$1,887","$2,644","$1,050",$250,"$1,029",$329,"$1,357",$530,10.0%,$341,6.4%,1,$182,3.4%,9.9%,,4,2.5%,10.0%,9.1%,19.0%,,1649-rambling-brook-drive,
Proposed,overland julia,September 2026,Alabama,"$319,000",,30 year fixed ,25%,,"$79,750",5.75%,,2.4%,"$7,217","-$4,000",,"$3,217","$82,967","$2,100","$2,032","$2,807","$1,200",$550,"$1,396",$380,"$1,776",$256,3.7%,$53,0.8%,1,$256,3.7%,4.5%,,4,3.5%,14.0%,13.5%,17.9%,,,
Proposed,laurelbrook ryder,September 2026,Alabama,"$357,000",,30 year fixed ,25%,,"$89,250",5.75%,,2.4%,"$8,077","-$4,000",,"$4,077","$93,327","$2,400","$2,322","$3,142","$1,200",$760,"$1,563",$425,"$1,988",$335,4.3%,$103,1.3%,1,$287,3.7%,5.0%,,4,3.5%,14.0%,13.4%,18.4%,,,
Hide,Raleigh  cottage walk,November 2026,Arkansas,"$237,000",,30 year fixed ,25%,,"$59,250",5.88%,,0.3%,"$1,629","$4,000",,"$5,629","$64,879","$2,000","$1,935","$2,702","$1,050",$250,"$1,051",$333,"$1,385",$550,10.2%,$357,6.6%,1,$186,3.4%,10.0%,,4,2.5%,10.0%,9.1%,19.2%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avg/Weighted,,"$276,783",,,,,,,,,,,,,"$75,279",,,,,,,,,,,,4.4%,,,4.1%,,,,3.0%,12.4%,10.9%,19.7%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,
,,Plug your own numbers: ,,,,,,,$0,,,,$0,,,$0,$0,,$0,,,,,$0,$0,$0,#DIV/0!,,#DIV/0!,1,#NUM!,#NUM!,#DIV/0!,,#VALUE!,,#VALUE!,,#DIV/0!,,,
